              t             x1             y1             x2             y2
    2.14748e+07              1    0.000203673        1.70724       0.707173
           0.01              1   -0.000286819        1.70724       0.706682
           0.02       0.999998    -0.00175772        1.70724        0.70521
           0.03       0.999991    -0.00420728        1.70724       0.702756
           0.04       0.999971    -0.00763261        1.70724       0.699316
           0.05       0.999928     -0.0120296        1.70722       0.694889
           0.06       0.999849     -0.0173929         1.7072        0.68947
           0.07       0.999719     -0.0237161        1.70716       0.683055
           0.08        0.99952     -0.0309912         1.7071       0.675639
           0.09       0.999231      -0.039209        1.70702       0.667217
            0.1        0.99883     -0.0483592         1.7069       0.657781
           0.11       0.998292     -0.0584296        1.70675       0.647326
           0.12       0.997588     -0.0694068        1.70655       0.635844
           0.13       0.996692     -0.0812759        1.70629       0.623328
           0.14        0.99557     -0.0940203        1.70598       0.609771
           0.15       0.994192      -0.107622        1.70559       0.595164
           0.16       0.992523       -0.12206        1.70513       0.579501
           0.17       0.990528      -0.137313        1.70459       0.562772
           0.18       0.988171      -0.153358        1.70395       0.544971
           0.19       0.985415      -0.170168        1.70321        0.52609
            0.2       0.982223      -0.187716        1.70236       0.506121
           0.21       0.978558      -0.205972        1.70139       0.485057
           0.22       0.974381      -0.224903        1.70029        0.46289
           0.23       0.969656      -0.244474        1.69906       0.439613
           0.24       0.964345       -0.26465        1.69768        0.41522
           0.25       0.958412      -0.285388        1.69615       0.389703
           0.26       0.951823      -0.306648        1.69445       0.363056
           0.27       0.944544      -0.328384        1.69258       0.335271
           0.28       0.936545      -0.350548        1.69053       0.306343
           0.29       0.927796      -0.373088        1.68828       0.276264
            0.3       0.918272      -0.395951        1.68583       0.245027
           0.31       0.907949       -0.41908        1.68316       0.212626
           0.32       0.896811      -0.442414        1.68025       0.179053
           0.33       0.884842      -0.465892        1.67709       0.144302
           0.34       0.872033      -0.489447        1.67367       0.108364
           0.35       0.858382      -0.513011        1.66996      0.0712315
           0.36       0.843891      -0.536514        1.66594      0.0328971
           0.37       0.828571      -0.559884         1.6616    -0.00664778
           0.38       0.812439      -0.583046        1.65689     -0.0474113
           0.39       0.795521      -0.605926        1.65179     -0.0894018
            0.4       0.777852      -0.628447        1.64628      -0.132627
           0.41       0.759476      -0.650535         1.6403      -0.177096
           0.42       0.740447      -0.672115        1.63383      -0.222813
           0.43       0.720828      -0.693114        1.62681      -0.269786
           0.44       0.700695      -0.713461        1.61919      -0.318019
           0.45       0.680132      -0.733089        1.61091      -0.367514
           0.46       0.659235      -0.751937        1.60193       -0.41827
           0.47        0.63811      -0.769945        1.59216      -0.470284
           0.48       0.616873      -0.787062        1.58153      -0.523548
           0.49        0.59565      -0.803244        1.56996      -0.578047
            0.5       0.574577      -0.818451        1.55737      -0.633764
           0.51       0.553797      -0.832652        1.54367      -0.690672
           0.52       0.533462      -0.845824        1.52874      -0.748734
           0.53       0.513731      -0.857951        1.51248      -0.807906
           0.54        0.49477      -0.869024        1.49477      -0.868131
           0.55       0.476751      -0.879038        1.47549      -0.929336
           0.56        0.45985      -0.887997        1.45449      -0.991435
           0.57       0.444248      -0.895904        1.43162       -1.05432
           0.58       0.430131      -0.902766        1.40673       -1.11786
           0.59       0.417689       -0.90859        1.37962       -1.18188
            0.6       0.407114      -0.913377         1.3501        -1.2462
           0.61       0.398599      -0.917125        1.31795       -1.31057
           0.62       0.392335      -0.919822         1.2829       -1.37468
           0.63       0.388504      -0.921447        1.24468       -1.43813
           0.64       0.387264      -0.921969        1.20296       -1.50045
           0.65       0.388729      -0.921352        1.15739       -1.56101
           0.66       0.392924      -0.919571        1.10761       -1.61902
           0.67       0.399727      -0.916634        1.05326       -1.67353
           0.68        0.40879      -0.912629       0.994111       -1.72343
           0.69       0.419467       -0.90777       0.930107       -1.76756
            0.7       0.430818      -0.902439       0.861514       -1.80494
           0.71        0.44172      -0.897153       0.788936       -1.83494
           0.72       0.451089      -0.892479       0.713233       -1.85751
           0.73       0.458062       -0.88892       0.635348       -1.87308
           0.74       0.462085      -0.886835       0.556144        -1.8824
           0.75        0.46287      -0.886426       0.476324       -1.88634
           0.76       0.460314      -0.887756       0.396418       -1.88571
           0.77        0.45442      -0.890788       0.316809       -1.88127
           0.78       0.445242       -0.89541       0.237771       -1.87365
           0.79       0.432858      -0.901462       0.159498       -1.86337
            0.8       0.417349      -0.908746      0.0821272       -1.85089
           0.81       0.398796      -0.917039     0.00575471       -1.83656
           0.82       0.377281      -0.926099     -0.0695526       -1.82072
           0.83       0.352885      -0.935667      -0.143751       -1.80363
           0.84       0.325694      -0.945475      -0.216812       -1.78553
           0.85       0.295801       -0.95525      -0.288724       -1.76662
           0.86       0.263309      -0.964712      -0.359483        -1.7471
           0.87       0.228329      -0.973584      -0.429091       -1.72711
           0.88       0.190985      -0.981593      -0.497558       -1.70679
           0.89       0.151414       -0.98847      -0.564893       -1.68626
            0.9       0.109761      -0.993958      -0.631106       -1.66561
           0.91      0.0661825      -0.997808      -0.696202       -1.64493
           0.92      0.0208421      -0.999783      -0.760181       -1.62429
           0.93     -0.0260903       -0.99966      -0.823031       -1.60372
           0.94     -0.0744405      -0.997225       -0.88473       -1.58326
           0.95      -0.124031      -0.992278      -0.945235       -1.56291
           0.96      -0.174685      -0.984624       -1.00449       -1.54268
           0.97      -0.226219      -0.974076        -1.0624       -1.52253
           0.98      -0.278451       -0.96045       -1.11886        -1.5024
           0.99      -0.331189      -0.943564       -1.17372       -1.48222
              1      -0.384229      -0.923238       -1.22677       -1.46187
           1.01      -0.437344      -0.899294       -1.27779        -1.4412
           1.02      -0.490269      -0.871571       -1.32647          -1.42
           1.03      -0.542684      -0.839937       -1.37247       -1.39802
           1.04      -0.594194      -0.804321        -1.4154       -1.37495
           1.05       -0.64431      -0.764765       -1.45485       -1.35045
           1.06      -0.692445       -0.72147       -1.49044       -1.32413
           1.07      -0.737953      -0.674852       -1.52191       -1.29567
           1.08      -0.780193      -0.625539       -1.54914       -1.26485
           1.09      -0.818635      -0.574314       -1.57228        -1.2316
            1.1       -0.85294      -0.522009       -1.59164       -1.19604
           1.11      -0.882993      -0.469387        -1.6077       -1.15845
           1.12      -0.908873      -0.417073       -1.62095       -1.11918
           1.13      -0.930798      -0.365533       -1.63189       -1.07861
           1.14      -0.949062      -0.315091       -1.64094       -1.03711
           1.15      -0.963985      -0.265958       -1.64846      -0.994992
           1.16      -0.975888       -0.21827       -1.65475      -0.952539
           1.17      -0.985079      -0.172104       -1.66002      -0.909975
           1.18      -0.991838      -0.127505       -1.66446      -0.867486
           1.19      -0.996424     -0.0844912       -1.66822      -0.825224
            1.2      -0.999072     -0.0430679       -1.67141      -0.783313
           1.21      -0.999995    -0.00322853       -1.67411      -0.741851
           1.22      -0.999386      0.0350402       -1.67641      -0.700922
           1.23      -0.997422      0.0717568       -1.67835      -0.660592
           1.24      -0.994265       0.106943       -1.67999      -0.620916
           1.25      -0.990063       0.140624       -1.68137       -0.58194
           1.26      -0.984952       0.172828       -1.68251      -0.543702
           1.27      -0.979058       0.203584       -1.68344      -0.506233
           1.28      -0.972495       0.232922        -1.6842       -0.46956
           1.29      -0.965372       0.260878       -1.68478      -0.433706
            1.3      -0.957786       0.287484       -1.68522      -0.398689
           1.31      -0.949827       0.312776       -1.68553      -0.364528
           1.32      -0.941579       0.336791       -1.68572      -0.331236
           1.33      -0.933119       0.359567       -1.68579      -0.298828
           1.34      -0.924517       0.381141       -1.68577      -0.267314
           1.35      -0.915836       0.401553       -1.68566      -0.236705
           1.36      -0.907135        0.42084       -1.68547      -0.207011
           1.37      -0.898466       0.439042       -1.68521      -0.178241
           1.38      -0.889878       0.456198       -1.68488      -0.150404
           1.39      -0.881413       0.472346       -1.68451      -0.123507
            1.4       -0.87311       0.487523       -1.68409     -0.0975576
           1.41      -0.865003       0.501766       -1.68363      -0.072563
           1.42      -0.857123       0.515112       -1.68314     -0.0485297
           1.43      -0.849496       0.527596       -1.68264     -0.0254641
           1.44      -0.842145       0.539251       -1.68212    -0.00337211
           1.45      -0.835091       0.550112        -1.6816      0.0177406
           1.46      -0.828352       0.560208       -1.68109      0.0378686
           1.47      -0.821942       0.569572       -1.68059      0.0570068
           1.48      -0.815874        0.57823       -1.68011      0.0751506
           1.49      -0.810159        0.58621       -1.67967      0.0922954
            1.5      -0.804806       0.593539       -1.67926       0.108437
           1.51      -0.799821       0.600239        -1.6789       0.123571
           1.52       -0.79521       0.606334        -1.6786       0.137695
           1.53      -0.790979       0.611844       -1.67836       0.150805
           1.54      -0.787129       0.616788       -1.67819       0.162897
           1.55      -0.783664       0.621185       -1.67809        0.17397
           1.56      -0.780585        0.62505       -1.67808        0.18402
           1.57      -0.777893       0.628396       -1.67815       0.193046
           1.58      -0.775589       0.631238       -1.67833       0.201044
           1.59      -0.773672       0.633587        -1.6786       0.208014
            1.6      -0.772142        0.63545       -1.67897       0.213954
           1.61      -0.770998       0.636838       -1.67946       0.218862
           1.62      -0.770239       0.637755       -1.68005       0.222737
           1.63      -0.769865       0.638207       -1.68076       0.225579
           1.64      -0.769873       0.638197       -1.68159       0.227387
           1.65      -0.770264       0.637726       -1.68254       0.228159
           1.66      -0.771034       0.636794       -1.68361       0.227897
           1.67      -0.772183       0.635401       -1.68481       0.226599
